急,급할 급,6급Ⅱ,唱,부를 창:,5급,車,수레 거|수레 차,7급Ⅱ,敬,공경 경:,5급Ⅱ,省,살필 성|덜 생,6급Ⅱ,明,밝을 명,6급Ⅱ,固,굳을 고(:),5급,夏,여름 하:,7급,銀,은 은,6급,弱,약할 약,6급Ⅱ
古,예 고:,6급,順,순할 순:,5급Ⅱ,表,겉 표,6급Ⅱ,奉,받들 봉:,5급Ⅱ,炭,숯 탄:,5급,比,견줄 비:,5급,直,곧을 직,7급Ⅱ,陸,뭍 륙,5급Ⅱ,太,클 태,6급,馬,말 마:,5급
番,차례 번,6급,給,줄 급,5급,士,선비 사:,5급Ⅱ,藥,약 약,6급Ⅱ,永,길 영:,6급,窓,창 창,6급Ⅱ,例,법식 례:,6급,農,농사 농,7급Ⅱ,意,뜻 의:,6급Ⅱ,害,해할 해:,5급Ⅱ
科,과목 과,6급Ⅱ,題,제목 제,6급Ⅱ,元,으뜸 원,5급Ⅱ,族,겨레 족,6급,幸,다행 행:,6급Ⅱ,團,둥글 단,5급Ⅱ,朴,성(姓) 박,6급,件,물건 건,5급,園,동산 원,6급,信,믿을 신:,6급Ⅱ
林,수풀 림,7급,待,기다릴 대:,6급,光,빛 광,6급Ⅱ,期,기약할 기,5급,許,허락할 허,5급,壇,단 단,5급,時,때 시,7급Ⅱ,案,책상 안:,5급,朝,아침 조,6급,止,그칠 지,5급
爭,다툴 쟁,5급,庭,뜰 정,6급Ⅱ,京,서울 경,6급,勇,날랠 용:,6급Ⅱ,命,목숨 명:,7급,內,안 내:,7급Ⅱ,鼻,코 비:,5급,典,법 전:,5급Ⅱ,實,열매 실,5급Ⅱ,年,해 년,8급
木,나무 목,8급,加,더할 가,5급,選,가릴 선:,5급,卒,마칠 졸,5급Ⅱ,淸,맑을 청,6급Ⅱ,韓,한국/나라 한(:),8급,語,말씀 어:,7급,放,놓을 방(:),6급Ⅱ,産,낳을 산:,5급Ⅱ,九,아홉 구,8급
半,반(半) 반:,6급Ⅱ,晝,낮 주,6급,勝,이길 승,6급,身,몸 신,6급Ⅱ,兒,아이 아,5급Ⅱ,消,사라질 소,6급Ⅱ,者,놈 자,6급,再,두 재:,5급,草,풀 초,7급,民,백성 민,8급
圖,그림 도,6급Ⅱ,野,들[坪] 야:,6급,結,맺을 결,5급Ⅱ,牛,소 우,5급,束,묶을 속,5급Ⅱ,樹,나무 수,6급,合,합할 합,6급,知,알 지,5급Ⅱ,南,남녘 남,8급,聞,들을 문(:),6급Ⅱ
植,심을 식,7급,獨,홀로 독,5급Ⅱ,六,여섯 륙,8급,孫,손자 손(:),6급,級,등급 급,6급,考,생각할 고(:),5급,各,각각 각,6급Ⅱ,畫,그림 화:|그을 획(劃),6급,責,꾸짖을 책,5급Ⅱ,十,열 십,8급
主,임금/주인 주,7급,競,다툴 경:,5급,問,물을 문:,7급,號,이름 호(:),6급,米,쌀 미,6급,運,옮길 운:,6급Ⅱ,午,낮 오:,7급Ⅱ,賞,상줄 상,5급,七,일곱 칠,8급,氣,기운 기,7급Ⅱ
交,사귈 교,6급,一,한 일,8급,基,터 기,5급Ⅱ,等,무리 등:,6급Ⅱ,門,문 문,8급,月,달 월,8급,答,대답 답,7급Ⅱ,音,소리 음,6급Ⅱ,用,쓸 용:,6급Ⅱ,參,참여할 참,5급Ⅱ
色,빛 색,7급,品,물건 품:,5급Ⅱ,童,아이 동(:),6급Ⅱ,火,불 화(:),8급,貯,쌓을 저:,5급,路,길 로:,6급,當,마땅 당,5급Ⅱ,堂,집 당,6급Ⅱ,旅,나그네 려,5급Ⅱ,黑,검을 흑,5급
